,Year,Date,Police_Sta,Road,Address,City,State,Zip_Code,Time,Kind,Reason,Vehicle,Victim,Age,geometry,Zip_code,_Adress,x,y,year
220,2012.0,2012-12-17,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,126 Καλλιρόης,Αθήνα,Αττική,,21:00 - 24:00,Σύγκρουση,Παραβίαση σηματοδότη,motorcycle,Οδηγός,46-55,POINT Z (23.71529793515163 37.96407372702095 0),10444.0,,23.715297935151625,37.964073727020946,2012.0
221,2012.0,2012-12-18,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,AΑχιλλέως & Μάρκου Μπότσαρη,Παλαιό Φάληρο,Αττική,,24:00 - 07:00,Σύγκρουση,Κίνηση στο αντίθετο ρεύμα,car,Οδηγός,55+,POINT Z (23.71266851084317 37.93009747681714 0),17563.0,,23.712668510843173,37.93009747681714,2012.0
222,2012.0,2012-12-19,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,321 Λεωφόρος Αθηνών,Αιγάλεω,Αττική,,07:00 - 09:00,Σύγκρουση,Ερευνώνται,motorcycle,Οδηγός,26-35,POINT Z (23.67915775512637 38.00357584714766 0),12243.0,,23.67915775512637,38.00357584714766,2012.0
223,2012.0,2012-12-20,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Ε.Ο. Δίκτυο,12ο χλμ Παλαιάς Εθνικής Οδού Αθηνών Θεσσαλονίκης,Μάνδρα,Αττική,,17:00 - 21:00,Άλλο ή άγνωστο είδος,Ερευνώνται,Other,Οδηγός,55+,POINT Z (23.41943399518277 38.11281801683805 0),19600.0,,23.41943399518277,38.11281801683805,2012.0
224,2012.0,2012-12-22,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,30 Βασιλέως Κωνσταντίνου,Αθήνα,Αττική,,24:00 - 07:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,26-35,POINT Z (23.74520185278334 37.97340492979373 0),13561.0,,23.74520185278334,37.97340492979373,2012.0
225,2012.0,2012-12-24,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,52 Χατζηκυριάκου,Πειραιάς,Αττική,,13:00 - 17:00,Σύγκρουση,Παραβίαση προτεραιότητας,motorcycle,Οδηγός,55+,POINT Z (23.63534098459883 37.93561853087056 0),18538.0,,23.635340984598827,37.935618530870556,2012.0
226,2012.0,2012-12-28,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,5 Ανωνύμου,Αθήνα,Αττική,,07:00 - 09:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,Other,Πεζός,55+,POINT Z (23.70344186774804 37.99257404125905 0),10442.0,,23.70344186774804,37.99257404125905,2012.0
227,2012.0,2012-12-28,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,32 Πειραιώς,Μοσχάτο,Αττική,,13:00 - 17:00,Εκτροπή,Λοιπά αίτια αναφερόμενα σε οδηγούς,motorcycle,Οδηγός,26-35,POINT Z (23.67894173617225 37.95650225107806 0),18346.0,,23.67894173617225,37.956502251078064,2012.0
228,2012.0,2012-12-28,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Κατοικημένη Περιοχή,80 Ροδόπης,Πειραιάς,Αττική,,17:00 - 21:00,Παράσυρση Πεζού,Απόσπαση προσοχής οδηγού,car,Πεζός,55+,POINT Z (23.63506188989436 37.9551071040097 0),18546.0,,23.63506188989436,37.9551071040097,2012.0
229,2012.0,2012-12-29,Δ. ΤΡΟΧ. ΑΤΤΙΚΗΣ,Λοιπό Οδικό Δίκτυο,30 Λεωφόρος Γραμματικού,Μαραθώνας,Αττική,,09:00 - 13:00,Σύγκρουση,Αίτια αναφερόμενα στην οδό και τον καιρό,car,Οδηγός,18-25,POINT Z (23.96225494720812 38.16457492779074 0),19007.0,,23.962254947208123,38.16457492779074,2012.0
0,2013.0,2013-01-01,,Λοιπό Οδικό Δίκτυο,,Πέραμα,,,21:00 - 24:00,Παράσυρση Πεζού,Λοιπά αίτια αναφερόμενα σε οδηγούς,car,Πεζός,18-25,POINT Z (23.58245604800004 37.96229359100005 0),,Λεωφόρος Δημοκρατίας 146,23.58245604800004,37.96229359100005,2013.0
